HaloID,GrpID,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,Prog
4,15,1,15,1.46955E+13,157807,56700,1
11162,15,2,15,1.46685E+13,158900,56537,1
22345,14,3,15,1.43786E+13,154768,55434,1
22409,268,3,15,3.09724E+11,9202,1009,0
36646,14,4,15,1.42121E+13,152371,54807,1
33834,259,4,15,3.57159E+11,9579,1164,0
33956,751,4,15,1.32923E+11,2006,518,0
40555,4158,4,15,32194013175,230,136,0
45270,14,5,15,1.40869E+13,150665,54281,1
48226,257,5,15,3.75398E+11,9719,1212,0
48340,710,5,15,1.58112E+11,2180,621,0
48421,1035,5,15,1.07501E+11,1251,448,0
51868,3251,5,15,42899184762,299,180,0
59745,14,6,15,1.40783E+13,150508,54248,1
65596,256,6,15,3.77724E+11,9738,1219,0
62814,704,6,15,1.60735E+11,2204,630,0
57104,1033,6,15,1.0797E+11,1255,450,0
63448,3242,6,15,43166174661,301,181,0
77316,14,7,15,1.39943E+13,148583,53806,1
77375,252,7,15,4.02731E+11,9727,1314,0
74514,651,7,15,1.95038E+11,2536,743,0
74588,947,7,15,1.39242E+11,1444,588,0
68896,1871,7,15,87745390782,568,383,0
69172,2973,7,15,47174987616,337,194,0
89313,15,8,15,1.33981E+13,142540,51345,1
80338,268,8,15,3.62469E+11,8842,1230,0
89454,574,8,15,2.41008E+11,3058,871,0
86521,896,8,15,1.6425E+11,1581,698,0
86534,951,8,15,75903958636,1457,279,0
86709,1651,8,15,96865517595,676,406,0
87038,2962,8,15,46910605316,339,192,0
98342,15,9,15,1.33334E+13,141907,51088,1
92390,270,9,15,3.54483E+11,8752,1200,0
101491,570,9,15,2.4542E+11,3105,883,0
101570,888,9,15,1.67979E+11,1603,714,0
95567,947,9,15,76653589217,1467,282,0
98748,1637,9,15,97261589922,682,406,0
93066,2979,9,15,46900010529,339,192,0
104359,14,10,15,1.27553E+13,135772,48804,1
113565,243,10,15,5.02213E+11,9406,1792,0
110622,671,10,15,1.93253E+11,2427,737,0
107622,868,10,15,1.01359E+11,1679,387,0
107734,1314,10,15,61288600903,926,240,0
107807,1610,10,15,96229207753,704,392,0
105103,2989,10,15,46672541443,340,189,0
122895,14,11,15,1.02852E+13,113171,39104,1
122948,230,11,15,7.69192E+11,9959,2871,0
123004,458,11,15,4.29756E+11,4142,1623,0
123037,593,11,15,2.23936E+11,2892,785,0
126220,659,11,15,3.22261E+11,2541,1358,0
120190,1872,11,15,82757410851,606,337,0
117316,3046,11,15,47731250239,345,193,0
138757,14,12,15,9.9866E+12,111396,37851,1
132456,231,12,15,7.53847E+11,9643,2815,0
